price,sqft_m2,link,rooms,address
4500,,http://idealista.com/inmueble/31262389/,,"Chalet pareado en Encinar de los Reyes, La Moraleja"
4000,,http://idealista.com/inmueble/31256000/,,Chalet en Ciudalcampo
660,,http://idealista.com/inmueble/27779753/,,"Dúplex en paseo Juan de la Encina, 1, Club de Campo"
850,,http://idealista.com/inmueble/31250536/,,"Piso en Alcobendas Centro, Alcobendas"
750,,http://idealista.com/inmueble/31239903/,,"Piso en Miramadrid, Paracuellos de Jarama"
950,,http://idealista.com/inmueble/31233529/,,"Chalet adosado en Miramadrid, Paracuellos de Jarama"
825,,http://idealista.com/inmueble/31233029/,,"Piso en Miramadrid, Paracuellos de Jarama"
1200,,http://idealista.com/inmueble/31232620/,,"Chalet adosado en Miramadrid, Paracuellos de Jarama"
600,,http://idealista.com/inmueble/31187932/,,"Piso en calle burgos, Ensanche, Alcobendas"
6000,,http://idealista.com/inmueble/30964680/,,Chalet pareado en La Moraleja
2600,,http://idealista.com/inmueble/26424351/,,"Chalet adosado en calle Hiedra, El Soto de la Moraleja, La Moraleja"
3900,,http://idealista.com/inmueble/29587771/,,"Chalet en calle Encinas, Norte, Alcobendas"
1700,,http://idealista.com/inmueble/29560836/,,"Casa o chalet independiente en avenida Guadalix, Santo Domingo"
1300,,http://idealista.com/inmueble/29475771/,,Piso en Santo Domingo
3500,,http://idealista.com/inmueble/28346700/,,"Casa o chalet independiente en calle Quinto Centenario, Fuente del Fresno"
3000,,http://idealista.com/inmueble/31203534/,,Casa o chalet independiente en Fuente del Fresno
6950,,http://idealista.com/inmueble/31187074/,,Chalet en La Moraleja
4000,,http://idealista.com/inmueble/31157789/,,"Chalet en El Soto de la Moraleja, La Moraleja"
4000,,http://idealista.com/inmueble/25164784/,,"Piso en El Soto de la Moraleja, La Moraleja"
2100,,http://idealista.com/inmueble/31119746/,,"Piso en Encinar de los Reyes, La Moraleja"
2800,,http://idealista.com/inmueble/31102394/,,"Piso en El Soto de la Moraleja, La Moraleja"
2500,,http://idealista.com/inmueble/31097933/,,"Chalet en El Soto de la Moraleja, La Moraleja"
500,,http://idealista.com/inmueble/31288514/,,"Piso en chorillo alta, Casco Urbano, Paracuellos de Jarama"
500,,http://idealista.com/inmueble/31276172/,,"Ático en real de burgos, Casco Urbano, Paracuellos de Jarama"
550,,http://idealista.com/inmueble/31263249/,,"Piso en calle del marqués de la valdavia, Alcobendas Centro, Alcobendas"
375,,http://idealista.com/inmueble/26737134/,,"Dúplex en calle de las Huertas, 13, Talamanca de Jarama"
1050,,http://idealista.com/inmueble/31254891/,,"Chalet adosado en euskadi, San Agustin de Guadalix"
900,,http://idealista.com/inmueble/31254604/,,"Dúplex en avenida orense, Los Arroyos, San Sebastián de los Reyes"
3100,,http://idealista.com/inmueble/31251027/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
750,,http://idealista.com/inmueble/2007407/,,"Piso en sector Embarcaciones, 11, Segunda Fase, Tres Cantos"
2200,,http://idealista.com/inmueble/31240275/,,"Chalet adosado en azalea, El Soto de la Moraleja, La Moraleja"
500,,http://idealista.com/inmueble/31240148/,,"Estudio en carretera de fuencarral, Zona Industrial, Alcobendas"
1000,,http://idealista.com/inmueble/31165259/,,"Casa o chalet independiente en avenida de bilbao, 13, Manzanares el Real"
